,Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
428778,2016.741.8,False,False,False,734420,,The American Wing,2016,Spoon,Spoon,American,,,,,16246,Maker, ,Theodore B. Starr,"American, New Rochelle, New York 1837–1907 Ridgefield, Connecticut", ,"Starr, Theodore B.",American,1837      ,1907      ,,http://vocab.getty.edu/page/ulan/500524230,,ca. 1905,1900,1910,Silver,4 1/2 × 1 1/4 in. (11.4 × 3.2 cm),"Gift of Martin Eidelberg, 2016",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/734420,,,"Metropolitan Museum of Art, New York, NY",,,
430986,2016.627.1,False,False,False,738380,,Arms and Armor,2016,"Abdomen, groin, and thigh armor prototype","T-31 Prototype Abdomen, Groin, and Thigh Armor","American, New York",,,,,1659951647031120,Armorer|Designer|Armorer, | | ,"The Metropolitan Museum of Art, Armor Workshop|Stephen V. Grancsay|Leonard Heinrich"," |American, Brooklyn 1897–1980 New York|American (born Germany) Munich 1900–1966 Clarksville, New Jersey", | | ,"The Metropolitan Museum of Art, Armor Workshop|Grancsay, Stephen V.|Heinrich, Leonard",American|American|German,          |1897      |1900      ,          |1980      |1966      ,||,http://vocab.getty.edu/page/ulan/500125157|http://vocab.getty.edu/page/ulan/500524417|,https://www.wikidata.org/wiki/Q160236||,1944,1944,1944,"Steel, textile, metal alloy",H. 19 1/4 in. (48.9 cm); W. 16 1/2 in. (41.9 cm); D. 9 in. (22.9 cm),"The Metropolitan Museum of Art, 1944; Museum Accession, 2016",,New York,,New York,,,,,,,,Armor Parts,,http://www.metmuseum.org/art/collection/search/738380,,,"Metropolitan Museum of Art, New York, NY",,,
430997,2016.627.2,False,False,False,738391,,Arms and Armor,2016,Right thigh and knee defense (poleyn) prototype,T-29 Prototype Right Thigh and Knee Defense ( Poleyn),"American, New York",,,,,1659951120816470,Armorer|Armorer|Designer, | | ,"The Metropolitan Museum of Art, Armor Workshop|Leonard Heinrich|Stephen V. Grancsay"," |American (born Germany) Munich 1900–1966 Clarksville, New Jersey|American, Brooklyn 1897–1980 New York", | | ,"The Metropolitan Museum of Art, Armor Workshop|Heinrich, Leonard|Grancsay, Stephen V.",American|German|American,          |1900      |1897      ,          |1966      |1980      ,||,http://vocab.getty.edu/page/ulan/500125157||http://vocab.getty.edu/page/ulan/500524417,https://www.wikidata.org/wiki/Q160236||,1944,1944,1944,"Steel, textile, metal alloy",H. 11 1/2 in. (29.2 cm); W. 8 3/4 in. (22.2 cm); D. 6 1/2 in. (16.5 cm),"The Metropolitan Museum of Art, 1944; Museum Accession, 2016",,New York,,New York,,,,,,,,Armor Parts,,http://www.metmuseum.org/art/collection/search/738391,,,"Metropolitan Museum of Art, New York, NY",,,
430999,2016.627.3,False,False,False,738393,,Arms and Armor,2016,Right greave (shin and calf armor) prototype,T-29 Prototype Right Greave (Shin and Calf Armor),"American, New York",,,,,1120816470316599,Armorer|Designer|Armorer, | | ,"Leonard Heinrich|Stephen V. Grancsay|The Metropolitan Museum of Art, Armor Workshop","American (born Germany) Munich 1900–1966 Clarksville, New Jersey|American, Brooklyn 1897–1980 New York| ", | | ,"Heinrich, Leonard|Grancsay, Stephen V.|The Metropolitan Museum of Art, Armor Workshop",German|American|American,1900      |1897      |          ,1966      |1980      |          ,||,|http://vocab.getty.edu/page/ulan/500524417|http://vocab.getty.edu/page/ulan/500125157,||https://www.wikidata.org/wiki/Q160236,1944,1944,1944,"Steel, textile",H. 13 3/4 in. (34.9 cm); W. 5 in. (12.7 cm); D. 5 3/4 in. (14.6 cm),"The Metropolitan Museum of Art, 1944; Museum Accession, 2016",,New York,,New York,,,,,,,,Armor Parts,,http://www.metmuseum.org/art/collection/search/738393,,,"Metropolitan Museum of Art, New York, NY",,,
431064,170.1 R674,True,False,True,738466,,The Libraries,,,Modern chromatics : with applications to art and industry,,,,,,19552,Author, ,Ogden Nicholas Rood,1831-1902, ,"Rood, Ogden Nicholas", ,1831      ,1902      ,,(not assigned),https://www.wikidata.org/wiki/Q2016126,1879,1879,1879,,"3 pages, 1 leaf, [v]-viii, [9]-329 pages : color frontispiece, illustrations, diagrams ; Height: 7 7/8 in. (20 cm)",,,New York,,New York,,,,,,,,,,http://www.metmuseum.org/art/collection/search/738466,https://www.wikidata.org/wiki/Q29388435,,"Metropolitan Museum of Art, New York, NY",,,
431242,F595 .R38 1895,True,False,False,738758,,The Libraries,,,Pony tracks,,,,,,16550616229,Publisher|Artist, | ,Harper & Brothers|Frederic Remington,"American, New York|American, Canton, New York 1861–1909 Ridgefield, Connecticut", | ,"Harper & Brothers|Remington, Frederic",American|American,1833      |1861      ,1962      |1909      ,|,http://vocab.getty.edu/page/ulan/500524493|http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q3127696|https://www.wikidata.org/wiki/Q560787,1895,1895,1895,,"viii pages, 1 leaf, 269 pages including plates : illustrations, frontispiece ; Height: 9 1/16 in. (23 cm)",Gift of Friends of the Thomas J. Watson Library,,New York,,New York,,,,,,,,,,http://www.metmuseum.org/art/collection/search/738758,https://www.wikidata.org/wiki/Q29388441,,"Metropolitan Museum of Art, New York, NY",,,
431247,PS2267 .A1 1891,True,False,True,738765,,The Libraries,,,The song of Hiawatha,,,,,,5857516229916429,Publisher|Illustrator|Author, | | ,Houghton Mifflin|Frederic Remington|Henry Wadsworth Longfellow," |American, Canton, New York 1861–1909 Ridgefield, Connecticut|American, Portland, Maine 1807–1882 Cambridge, Massachusetts", | | ,"Houghton Mifflin|Remington, Frederic|Longfellow, Henry Wadsworth", |American|American,          |1861      |1807      ,          |1909      |1882      ,||,|http://vocab.getty.edu/page/ulan/500024759|http://vocab.getty.edu/page/ulan/500524380,|https://www.wikidata.org/wiki/Q560787|https://www.wikidata.org/wiki/Q152513,1891,1891,1891,,"xviii, 242 pages : frontispiece (portrait), illustrations, plates ; Height: 9 7/16 in. (24 cm)",Gift of Friends of the Thomas J. Watson Library,,New York,,New York,,,,,,,,,,http://www.metmuseum.org/art/collection/search/738765,https://www.wikidata.org/wiki/Q29388444,,"Metropolitan Museum of Art, New York, NY",,,
432434,2016.705,False,False,False,740516,,The American Wing,2016,Period frame,"""Hassam-style"" period frame",American,,,,,305,Maker, ,"Royal Art Framing Company, Inc.","New York, early 20th century", ,"Royal Art Framing Company, Inc. ", ,          ,9999      ,,,,ca. 1920,1915,1925,gilded milled and carved wood with polychrome patina,"33 11/16 × 27 3/4 × 1 1/2 in. (85.6 × 70.5 × 3.8 cm)
Rabbet: 24 3/8 × 18 7/16 in. (61.9 × 46.8 cm)
Sight: 23 1/2 × 17 5/8 in. (59.7 × 44.8 cm)","Gift of Jack Soultanian, 2016",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/740516,,,"Metropolitan Museum of Art, New York, NY",,,
434422,2016.708.12,False,False,False,742614,,Drawings and Prints,2016,Book Ornament & Architecture,Hope's Casement and Leaded Glass,,,,,,19621,Artist, ,"Henry Hope & Sons, Ltd.","American, active New York early 20th century", ,"Hope, Henry & Sons, Ltd.",American,1900      ,1920      ,,,,1919,1919,1919,Photographs and lithographs,18 7/16 × 12 3/16 × 1/2 in. (46.8 × 31 × 1.2 cm),"Gift of Morrison Heckscher, 2016",,New York,,,,,,,,,,Books|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/742614,,,"Metropolitan Museum of Art, New York, NY",,,
434603,"2016.735a, b",False,False,False,742888,731,The American Wing,2016,Dressing table,Dressing Table and Glass,American,,,,,133,Maker,Possibly,Charles-Honoré Lannuier,France 1779–1819 New York, ,"Lannuier, Charles-Honoré",American,1779      ,1819      ,,http://vocab.getty.edu/page/ulan/500256814,https://www.wikidata.org/wiki/Q5074741,ca. 1815,1810,1820,"Mahogany, poplar, pine, maple, ormolu, glass, and ivory (removed)",58 × 37 × 20 1/4 in. (147.3 × 94 × 51.4 cm),"Gift of Elizabeth Feld Herzberg and Peter A. Feld, 2016",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/742888,https://www.wikidata.org/wiki/Q116444848,,"Metropolitan Museum of Art, New York, NY",,,
434611,"2016.740a, b",False,False,False,742899,774,The American Wing,2016,Piano Stool,Piano Stool,American,,,,,932,Maker,Probably,Duncan Phyfe & Sons,"1837–1840, active New York", ,"Phyfe & Sons, D.",American,1837      ,1840      ,,,,1830–40,1830,1840,"Mahogany, ormolu (brass)",21 1/2 h × 15 dia. in. (54.6 × 38.1 cm),"Gift of Sue K. and Stuart P. Feld, 2016",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/742899,https://www.wikidata.org/wiki/Q116444849,,"Metropolitan Museum of Art, New York, NY",,,
434752,2016.739,True,False,False,744107,706,The American Wing,2016,Brooch,Brooch,American,,,,,108316253,Designer|Manufacturer, | ,Paulding Farnham|Tiffany & Co.,1859–1927|1837–present, | ,"Farnham, Paulding|Tiffany & Co.",American| ,1859      |1837      ,1927      |9999      ,|,http://vocab.getty.edu/page/ulan/500336597|http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q13476260|https://www.wikidata.org/wiki/Q1066858,1889–96,1889,1896,"Gold, diamonds, and enamel","Brooch: 4 1/4 × 2 1/2 in. (10.8 × 6.4 cm)
Box: 2 1/4 × 5 3/4 × 4 in. (5.7 × 14.6 × 10.2 cm)","Gift of Linda B. Brandi, in memory of Isabel Shults, 2016",Designed in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/744107,https://www.wikidata.org/wiki/Q116444871,,"Metropolitan Museum of Art, New York, NY",Orchids,http://vocab.getty.edu/page/aat/300311478,https://www.wikidata.org/wiki/Q142269
436331,2017.76,False,False,False,746687,774,The American Wing,2017,Canterbury,Canterbury [sheet music storage rack],American,,,,,932,Maker, ,Duncan Phyfe & Sons,"1837–1840, active New York", ,"Phyfe & Sons, D.",American,1837      ,1840      ,,,,ca. 1840,1835,1845,"Mahogany, mahogany veneer, white pine, and poplar",20 1/2 × 18 3/4 × 13 3/4 in. (52.1 × 47.6 × 34.9 cm),"Friends of the American Wing Fund, 2017",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/746687,https://www.wikidata.org/wiki/Q116444888,,"Metropolitan Museum of Art, New York, NY",,,
436378,2017.155,False,False,True,746761,766,The American Wing,2017,Plaque,Cornish Celebration Presentation Plaque,American,,,,,16236,Artist, ,Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire", ,"Saint-Gaudens, Augustus",American,1848      ,1907      ,,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,1905–6; cast ca. 1913,1905,1905,"Bronze, gilt",32 1/2 × 18 7/8 in. (82.6 × 48 cm),"Marguerite and Frank A. Cosgrove Jr. Fund, 2017",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/746761,https://www.wikidata.org/wiki/Q116444889,,"Metropolitan Museum of Art, New York, NY",Temples|Trees,http://vocab.getty.edu/page/aat/300007595|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q44539|https://www.wikidata.org/wiki/Q10884
436734,"2017.227a, b",False,False,False,747312,,The American Wing,2017,Scent bottle,Scent bottle,American,,,,,126,Manufacturer, ,Whiting Manufacturing Company,"American, Attleboro, Massachusetts, 1866–1926", ,Whiting Manufacturing Company ,American,1866      ,1926      ,,http://vocab.getty.edu/page/ulan/500330428,https://www.wikidata.org/wiki/Q98065839,ca. 1884,1880,1889,Silver,3/4 × 3 11/16 in. (1.9 × 9.4 cm),"Gift of Margot Johnson and Bogdan Lenkiewicz, in memory of Alice Knotts Cooney, 2017",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/747312,,,"Metropolitan Museum of Art, New York, NY",,,
436923,BF207 .L4 1972,True,False,False,747646,,The Libraries,,,The psychedelic experience : a manual based on the Tibetan book of the dead,,,,,,197327616316101,Author|Author|Author, | | ,Richard Alpert|Ralph Metzner|Timothy Leary,"American, 1931–2019|American (born Germany), 1936|American, Springfield, Massachusetts 1920–1996 Beverly Hills, California", | | ,"Alpert, Richard|Metzner, Ralph|Leary, Timothy","American|American, born Germany|American",1931      |1936-05-16|1920-10-22,2019      |9999      |1996-05-31,||,||(not assigned),||https://www.wikidata.org/wiki/Q211731,1972,1972,1972,,159 pages; Height: 9 7/16 in. (24 cm),,,New York,,N.Y.,,,,,,,,,,http://www.metmuseum.org/art/collection/search/747646,,,"Metropolitan Museum of Art, New York, NY",,,
436924,100.51 B61 no.2,True,False,False,747647,,The Libraries,,,The blind man,,,,,,1620921618509140,Editor|Editor|Publisher, | | ,Man Ray|Marcel Duchamp|H. P. Roché,"American, Philadelphia, Pennsylvania 1890–1976 Paris|American (born France), Blanville 1887–1968 Neuilly-sur-Seine|French, 20th century", | | ,"Man Ray|Duchamp, Marcel|Roché, H. P.","American|American, born France|French",1890      |1887      |1900      ,1976      |1968      |2000      ,||,http://vocab.getty.edu/page/ulan/500015030|http://vocab.getty.edu/page/ulan/500115393|,https://www.wikidata.org/wiki/Q46139|https://www.wikidata.org/wiki/Q5912|,1917,1917,1917,,15 pages : illustrations ; Height: 11 in. (28 cm),,,New York,,New York,,,,,,,,,"© 2023 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/747647,https://www.wikidata.org/wiki/Q29388448,,"Metropolitan Museum of Art, New York, NY",,,
436931,P99 .S38 v.3 no.2 1978,True,False,False,747655,,The Libraries,,,Semiotexte,,,,,,,,,,,,,,,,,,,1978,1978,1978,,volume : illustrations; Height: 9 13/16 in. (25 cm),,,New York,,N.Y.,,,,,,,,,,http://www.metmuseum.org/art/collection/search/747655,,,"Metropolitan Museum of Art, New York, NY",,,
445634,2017.369,True,False,False,765285,758,The American Wing,2017,Painting,Young Wife: First Stew,American,,,,,348,Artist, ,Lilly Martin Spencer,1822–1902, ,"Spencer, Lilly Martin",American,1822      ,1902      ,Female,http://vocab.getty.edu/page/ulan/500016080,https://www.wikidata.org/wiki/Q2986384,1854,1854,1854,Oil on canvas,"30 × 24 in. (76.2 × 61 cm)
Framed: 40 × 35 × 3 in. (101.6 × 88.9 × 7.6 cm)","Gift of Bruce and Susan Lueck, 2017",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/765285,https://www.wikidata.org/wiki/Q98225261,,"Metropolitan Museum of Art, New York, NY",Food|Vegetables|Cooking|Eggs|Kitchens|Women,http://vocab.getty.edu/page/aat/300254496|http://vocab.getty.edu/page/aat/300380162| |http://vocab.getty.edu/page/aat/300395680|http://vocab.getty.edu/page/aat/300004514|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q2095|https://www.wikidata.org/wiki/Q11004|https://www.wikidata.org/wiki/Q38695|https://www.wikidata.org/wiki/Q93189|https://www.wikidata.org/wiki/Q43164|https://www.wikidata.org/wiki/Q467
449285,2017.654,False,False,False,772133,743,The American Wing,2017,Vase,Vase in Celtic encircled birds pattern,American,,,,,16254,Manufacturer, ,Tiffany Studios,1902–32, ,Tiffany Studios , ,1902      ,1932      ,,http://vocab.getty.edu/page/ulan/500331813,https://www.wikidata.org/wiki/Q19587243,1904–9,1904,1909,Porcelaneous earthenware,5 × 9 in. (12.7 × 22.9 cm),"Gift of Margery and Edgar Masinter, in honor of Alice Cooney Frelinghuysen, 2017",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/772133,https://www.wikidata.org/wiki/Q116445105,,"Metropolitan Museum of Art, New York, NY",,,
450033,N6494.C8 G6 1959,True,False,False,773144,,The Libraries,,,"Cubism : a history and an analysis, 1907-1914",,,,,,1442168590,Author|Publisher, | ,"John Golding|George Wittenborn, Inc.","British, born Hastings 1929–2012|New York, NY", | ,"Golding, John|Wittenborn, George, Inc.",British|American,1929      |1900      ,2012      |1999      ,|,http://vocab.getty.edu/page/ulan/500030340|,https://www.wikidata.org/wiki/Q16019396|,1959,1959,1959,,"207 pages, illustrations (some color), Height: 10 1/4 in. (26 cm)",,,New York,,New York,,,,,,,,,,http://www.metmuseum.org/art/collection/search/773144,,,"Metropolitan Museum of Art, New York, NY",,,
452006,"2018.121.1a, b",False,False,True,775464,706,The American Wing,2018,Candlestick,Candlestick,American,,,,,16253,Manufacturer, ,Tiffany & Co.,1837–present, ,Tiffany & Co., ,1837      ,9999      ,,http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q1066858,1878,1878,1878,"Iron, silver, gold, and copper",7 1/2 × 4 5/16 in. (19.1 × 11 cm),"Purchase, Sansbury-Mills Fund and Spencer Marks Gift, 2018",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/775464,https://www.wikidata.org/wiki/Q116445116,,"Metropolitan Museum of Art, New York, NY",,,
458332,2018.933.1,False,False,False,784854,,The American Wing,2018,Panel,Fish and sea mosaic panel,American,,,,,414316254,Manufacturer|Artist, | ,Tiffany Glass Company|Louis C. Tiffany,"1885–92|American, New York 1848–1933 New York", | ,"Tiffany Glass Company|Tiffany, Louis C.",American|American,1885      |1848      ,1892      |1933      ,|,(not assigned)|http://vocab.getty.edu/page/ulan/500030415,https://www.wikidata.org/wiki/Q19587243|https://www.wikidata.org/wiki/Q312950,ca. 1885–90,1885,1890,"Gold-foil backed mosaic glass, stones",21 × 30 in. (53.3 × 76.2 cm),"Gift of Page Williams Dwyer, 2018",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/784854,,,"Metropolitan Museum of Art, New York, NY",,,
458342,2018.933.2,False,False,False,784867,743,The American Wing,2018,Window,Pebble and seaweed window,American,,,,,16254,Artist, ,Louis C. Tiffany,"American, New York 1848–1933 New York", ,"Tiffany, Louis C.",American,1848      ,1933      ,,http://vocab.getty.edu/page/ulan/500030415,https://www.wikidata.org/wiki/Q312950,ca. 1884,1879,1889,Leaded glass; stones,21 × 28 in. (53.3 × 71.1 cm),"Gift of Page Williams Dwyer, 2018",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/784867,https://www.wikidata.org/wiki/Q116445133,,"Metropolitan Museum of Art, New York, NY",,,
